Example	Perfect	Aspect	Transitivity	Lex_group	Location	Gender
u kUqu •• kOj si je po imAl onO si bIlo svE dobrO On 	AUX	not_perf	intrans	modal		
((XXX)) jA kəd sam bIla nE bilO mI smo si imAli svE 	No_AUX	not_perf	intrans	modal		
mOre mAnje • da ti i ne prIčam kvO e bIla mUka ((laugh)) 	AUX	not_perf	intrans	modal		
pa zaOštri •• pa pletEm pff pe šEt sam donEla bIla plEtem i svE 	AUX	not_perf	intrans	modal		
pa nEcuvano nEkakvo bIlo tOj mi tEtka ovdE u lepEnu bilA onA mi necuvAla jA nesAm 	AUX	not_perf	intrans	modal		
a mojA si bIla tkanA od • mAti si tkalA tOj sa svAakakvu sOrtu 	AUX	not_perf	intrans	modal		
tOj sam bIla naučIla nEsam Išla nIgde da Učim a mAti mi Išla u bUčje imAla nEka 	AUX	not_perf	intrans	modal		
i primEri i ako je na nju dobrO onO Ona bEše zgOdna ne jA səm debEla onA • Ona e bIla ovakvA 	AUX	not_perf	intrans	modal		
Ovde nEsmo poslE tAm kƏd smo si bIli decA • mI smo tOj takO 	AUX	not_perf	intrans	modal		
onI mlOogo sadIle onI nEsu bIli na slUžbu 	AUX	not_perf	intrans	modal		
dObro mEn nesU jA səm bIla mIrna i učitEljite Imali qErku • Ono bIlo i učItelj i učitEljica 	AUX	not_perf	intrans	modal		
el jA səm si bIla pOvojna mIrna pa 	AUX	not_perf	intrans	modal		
pa nesU bIli Oni znAli da smo svI 	AUX	not_perf	intrans	modal		
pa On • na njegOve kUqa što li e bIla ovUde 	AUX	not_perf	intrans	modal		
ou išlA sam u škOlu • u sIne kad sam jA bIla devOjka šta je tOj tAg bilO dObro kad je bilO pRvi mAj Oo 	AUX	not_perf	intrans	modal		
pa Imam i slIke i Imam i n/ ne z/ nE znam ne mOgu da ti prIčam šta je bilO kad sam jA bIla devOjka 	AUX	not_perf	intrans	modal		
pa imAlo armonikAš gOre nAš komšIja u/ jA/ mI smo bIli u gOrnji krAj gOre ni bIla kUḱa 	AUX	not_perf	intrans	modal		
e pa nE onA bIla tAg nE znam onA Uveče bIla kod mEne 	No_AUX	not_perf	intrans	modal		
e pa nE onA bIla tAg nE znam onA Uveče bIla kod mEne 	No_AUX	not_perf	intrans	modal		
nnE znam budalA što sam mOra bIla nesAm si sačuvAla tUj diplOmu • dAli mi diplOmu i pAre nE znam kOlko mi dAli za za tAj ćilIm što sam plEla rUčno 	AUX	not_perf	intrans	modal		
u škOlu sam Išla dn/ bilA sam dObar đAk nIsam bIla poslEdnja sve sam imAla petIce u škOlu hU hU 	AUX	not_perf	intrans	modal		
tkAd sam bIla devOjka 	AUX	not_perf	intrans	modal		
tOj kad smo mI bilI • mAni ga mAni ga bIlo je mnOgo lEpo mlOgo ne mOgu tOj da zaborAvim kakvO je bilO ali 	AUX	not_perf	intrans	modal		
kad je bIlo rAt El • pa pAmtim • b znAm kad je bilO 	AUX	not_perf	intrans	modal		
((?)) kad sam bIla jA nesAm bIla Udata devOjče sam bIla 	AUX	not_perf	intrans	modal		
Uu pa ovdEka smo se mOra bIli u ovUj kUḱu kakvO li je el gOre el tUj 	AUX	not_perf	intrans	modal		
pa znAm gOre smo bIli tagAj u gOrnjiti krAj • onOa rUsi dOjdu • pa Idu po kUće pa • tOče rakIju 	AUX	not_perf	intrans	modal		
onO bombArdovanje tA mnOgo bilO po • po svI vAroši •• a i ovdEkaj si bIlo u štIpinu pucAnje tagAj 	AUX	not_perf	intrans	modal		
ali pOsle kad je postAl tIto • tAg je bIlo nAjbolje nAjbolj živOt sIne •• kad je bIl tIto 	AUX	not_perf	intrans	modal		
nEje nE bIlo lOše •• i znAm znAm kad su dodal/ dolazIli partizAni 	No_AUX	not_perf	intrans	modal		
odOtle zavladAl tIto •• samo dokle tIto bIl • mnOgo ni je bIlo lEpo 	AUX	not_perf	intrans	modal		
a prEda tItu nEje nE bIlo bAš •••• tO takOj a kad je tIto bIl •• On si gočkA i do stArosti je On vladAl 	No_AUX	not_perf	intrans	modal		
tOj takOj bilO si •• ali pOsle bIlo si mIrno • nE bilO 	No_AUX	not_perf	intrans	modal		
nE m/ nE bIla dUga bOrba 	No_AUX	not_perf	intrans	modal		
odAvna sIne ((laugh)) • imAlo •• imAli smo pRvi put još kad sam bi/ bIla jA detE na cEv pa tAg lAnac pa okrEćeš 	AUX	not_perf	intrans	modal		
mI gOre de smo bili onO imAlo klAdanac •• i sAg si ga Ima tAj klAdanac 	AUX	not_perf	intrans	modal		
ou išlA sam u škOlu • u sIne kad sam jA bIla devOjka šta je tOj tAg bilO dObro kad je bilO pRvi mAj Oo 	AUX	not_perf	intrans	modal		
pa Imam i slIke i Imam i n/ ne z/ nE znam ne mOgu da ti prIčam šta je bilO kad sam jA bIla devOjka 	AUX	not_perf	intrans	modal		
pa imAlo armonikAš gOre nAš komšIja u/ jA/ mI smo bIli u gOrnji krAj gOre ni bIla kUḱa 	AUX	not_perf	intrans	modal		
e pa nE onA bIla tAg nE znam onA Uveče bIla kod mEne 	No_AUX	not_perf	intrans	modal		
e pa nE onA bIla tAg nE znam onA Uveče bIla kod mEne 	No_AUX	not_perf	intrans	modal		
nnE znam budalA što sam mOra bIla nesAm si sačuvAla tUj diplOmu • dAli mi diplOmu i pAre nE znam kOlko mi dAli za za tAj ćilIm što sam plEla rUčno 	AUX	not_perf	intrans	modal		
u škOlu sam Išla dn/ bilA sam dObar đAk nIsam bIla poslEdnja sve sam imAla petIce u škOlu hU hU 	AUX	not_perf	intrans	modal		
tkAd sam bIla devOjka 	AUX	not_perf	intrans	modal		
tOj kad smo mI bilI • mAni ga mAni ga bIlo je mnOgo lEpo mlOgo ne mOgu tOj da zaborAvim kakvO je bilO ali 	AUX	not_perf	intrans	modal		
kad je bIlo rAt El • pa pAmtim • b znAm kad je bilO 	AUX	not_perf	intrans	modal		
((?)) kad sam bIla jA nesAm bIla Udata devOjče sam bIla 	AUX	not_perf	intrans	modal		
Uu pa ovdEka smo se mOra bIli u ovUj kUḱu kakvO li je el gOre el tUj 	AUX	not_perf	intrans	modal		
pa znAm gOre smo bIli tagAj u gOrnjiti krAj • onOa rUsi dOjdu • pa Idu po kUće pa • tOče rakIju 	AUX	not_perf	intrans	modal		
onO bombArdovanje tA mnOgo bilO po • po svI vAroši •• a i ovdEkaj si bIlo u štIpinu pucAnje tagAj 	No_AUX	not_perf	intrans	modal		
ali pOsle kad je postAl tIto • tAg je bIlo nAjbolje nAjbolj živOt sIne •• kad je bIl tIto 	AUX	not_perf	intrans	modal		
nEje nE bIlo lOše •• i znAm znAm kad su dodal/ dolazIli partizAni 	No_AUX	not_perf	intrans	modal		
odOtle zavladAl tIto •• samo dokle tIto bIl • mnOgo ni je bIlo lEpo 	AUX	not_perf	intrans	modal		
a prEda tItu nEje nE bIlo bAš •••• tO takOj a kad je tIto bIl •• On si gočkA i do stArosti je On vladAl 	No_AUX	not_perf	intrans	modal		
tOj takOj bilO si •• ali pOsle bIlo si mIrno • nE bilO 	No_AUX	not_perf	intrans	modal		
nE m/ nE bIla dUga bOrba 	No_AUX	not_perf	intrans	modal		
odAvna sIne ((laugh)) • imAlo •• imAli smo pRvi put još kad sam bi/ bIla jA detE na cEv pa tAg lAnac pa okrEćeš 	AUX	not_perf	intrans	modal		
mI gOre de smo bili onO imAlo klAdanac •• i sAg si ga Ima tAj klAdanac 	AUX	not_perf	intrans	modal		
i bilI fIno si ni bIlo 	No_AUX	not_perf	intrans	modal		
aa tƏ je tAko bIlo jEste jEst 	AUX	not_perf	intrans	modal		
jAo štA je bIlo i tƏd i rAt gOre 	AUX	not_perf	intrans	modal		
kOji su krIvci bIli 	AUX	not_perf	intrans	modal		
 bIlo tAko 	No_AUX	not_perf	intrans	modal		
nIje mi mUž bIli smo poljoprIvrednici 	AUX	not_perf	intrans	modal		
Ispod ((?)) na dvE rEke smo bilI jEdna i bIla 	AUX	not_perf	intrans	modal		
bIlo je na i ovAko na gAzdu kojA je 	AUX	not_perf	intrans	modal		
i dObro je bIlo bIlo je dObro 	AUX	not_perf	intrans	modal		
i dObro je bIlo bIlo je dObro 	AUX	not_perf	intrans	modal		
tOj rAnije bIlo 	No_AUX	not_perf	intrans	modal		
kOlko je bIlo stAdo 	AUX	not_perf	intrans	modal		
 tOj prAznik nEki bIlo pa gAzdarica 	AUX	not_perf	intrans	modal		
nesU se bIli u našE salO 	AUX	not_perf	intrans	modal		
kudE kAsarine tEj tU tudE je nEgde kUća tUj se bIla onA udAla 	AUX	not_perf	intrans	modal		
tUj su mnOgo bIli bombarduvAli a ovdE nIje jednA e sAmo tOj 	AUX	not_perf	intrans	modal		
i tO mu je bIlo kUḱica nEma 	AUX	not_perf	intrans	modal		
tO e oko pedEste gOdne bIlo 	No_AUX	not_perf	intrans	modal		
Odma prEko pUta tU e bila škOla 	AUX	not_perf	intrans	modal		
kojI su pojAčići bIli po bogAti 	AUX	not_perf	intrans	modal		
 bIlo geogrAfija sAg Oni mAme 	No_AUX	not_perf	intrans	modal		
a tOlko smo bIli budale da 	AUX	not_perf	intrans	modal		
a jA sAt vrEme trEba d Idem gdE mi je bIla kUḱa 	AUX	not_perf	intrans	modal		
pa bIlo nEšto sIne ili nisI 	No_AUX	not_perf	intrans	modal		
ḱetvRte pEte e bIlo 	AUX	not_perf	intrans	modal		
jAk o je bIlo 	AUX	not_perf	intrans	modal		
bIlo si je tAj 	AUX	not_perf	intrans	modal		
i jA sam bila slAba i sItna i 	AUX	not_perf	intrans	modal		
tEr sam bIla kOd mAjku nIsam mesIla 	AUX	not_perf	intrans	modal		
tOj ni je bIlo Osnovno nIšta drUgo 	AUX	not_perf	intrans	modal		
ali tAg je bIlo zimA dunUlo kAko štOno nEk ne bEše zimA 	No_AUX	not_perf	intrans	modal		
el tAg sAmo te kAžem kOlko su bIli vAšori 	AUX	not_perf	intrans	modal		
u knjAževəc je bIla Ordsko mandatUra 	AUX	not_perf	intrans	modal		
pa u pOdvis su bIli bUgari ovdEkaj 	AUX	not_perf	intrans	modal		
jA za vrEme rAt kAd je bIlo 	AUX	not_perf	intrans	modal		
a ovdE ti je tU bIlo jAko dObro dOk je radel rUdnik 	AUX	not_perf	intrans	modal		
iz zAjćar pa su dolazIl iz bEograd pa tOj bIlo žIvo mEsto 	No_AUX	not_perf	intrans	modal		
takO je bIlo kO uz zAtvor 	AUX	not_perf	intrans	modal		
e kvO imAlo pa bIlo znAš tOj 	No_AUX	not_perf	intrans	modal		
dOle u knjAžovac tAd je bIlo srEz 	AUX	not_perf	intrans	modal		
vAljda su bIli dal iz pOdvis odOkle li bEše 	AUX	not_perf	intrans	modal		
tO je bIlo i prošlO 	AUX	not_perf	intrans	modal		
((?)) mI smo bIli u sElo Ajde jA ću ti seljAčki prIčam 	AUX	not_perf	intrans	modal		
i mI mu oprIčamo On kAže u prAvu si bIla što nIsi otvorIla 	AUX	not_perf	intrans	modal		
štA ću a tO je bIlo bAš kodE petrOvden 	AUX	not_perf	intrans	modal		
ne s ići dodIla snEška On si bIla 	No_AUX	not_perf	intrans	modal		
bIla sam mlAdenesta 	AUX	not_perf	intrans	modal		
((?)) svE je bIlo sAmo komAnda 	AUX	not_perf	intrans	modal		
kad je bIlo kad sam jA Imao znAči trI gOdine 	AUX	not_perf	intrans	modal		
tO je tAd bIlo a sAd 	AUX	not_perf	intrans	modal		
e tO je tAko bIlo ugAvnom 	AUX	not_perf	intrans	modal		
uzimAli iz onO kO štA je bIlo 	AUX	not_perf	intrans	modal		
kOji smo nAj/ Ovaj bIli 	AUX	not_perf	intrans	modal		
bIlo i Oni su ubIjali ljUdi ali 	No_AUX	not_perf	intrans	modal		
bIli su hAgeovci nEki kakvO ne znAm 	AUX	not_perf	intrans	modal		
pa i jOš nEki tAkvi su bIli pUno su bIli 	AUX	not_perf	intrans	modal		
tO je tAko bIlo 	AUX	not_perf	intrans	modal		
tAko je tO bIlo 	AUX	not_perf	intrans	modal		
sOlidno živEli el mOji su imUćniji bIli 	AUX	not_perf	intrans	modal		
i šnAjderi kOji su tU bIli nEki kOmšije Ispod nAs šnAjderi 	AUX	not_perf	intrans	modal		
tAko je bIlo 	AUX	not_perf	intrans	modal		
dObar u Onosu štA je bIlo 	AUX	not_perf	intrans	modal		
mUški su bIli nAči svE tO se 	AUX	not_perf	intrans	modal		
slUge bIli su slUge bIli 	AUX	not_perf	intrans	modal		
a i mOji su bIli Otac i strIc 	AUX	not_perf	intrans	modal		
a Isprva dok smo mI bIli mAli 	AUX	not_perf	intrans	modal		
Eto tAko je bIlo On je b/ mOj pokOjni Otac je u bUgarsku vOjsku 	AUX	not_perf	intrans	modal		
uglAvno bIo je znAči i slUga i slUžio bUgarsku vOjsku tAko je bIlo 	AUX	not_perf	intrans	modal		
pOšto smo kovAči bIli jA sam 	AUX	not_perf	intrans	modal		
da da i Ona je bIla gOre do čEtvrti rAzred 	AUX	not_perf	intrans	modal		
tAko je tAko je bIlo 	AUX	not_perf	intrans	modal		
sAmo je tO nI bIlo prEvoz 	AUX	not_perf	intrans	modal		
tAko je bIlo tAkvo vrEme 	AUX	not_perf	intrans	modal		
tAko je bIlo el tad nIje bIlo na prImer Ovi 	AUX	not_perf	intrans	modal		
mnOgo je rAd bIlo mnOgo 	AUX	not_perf	intrans	modal		
tU su bIli Otrovni Ovi kOji tAmo 	AUX	not_perf	intrans	modal		
e zatAjila da uOpšte nIje bIlo nikako 	AUX	not_perf	intrans	modal		
mAjka mi bIla vEliki rAdnik tO je bIlo rAdnik jedAnput 	No_AUX	not_perf	intrans	modal		
a Ovo je bIlo šUma znAči 	AUX	not_perf	intrans	modal		
tAko je bIla rAvna šUma kad se poglEda odOzgo kAže kao 	AUX	not_perf	intrans	modal		
tAko je bIlo rAvno sAmo tO se pOlse svE Ovo izmEnjalo 	AUX	not_perf	intrans	modal		
((?)) tO kAžu da je rAnije svE rAvno bIlo onAko 	AUX	not_perf	intrans	modal		
bIlo je tO Isto gOre u rAvno bUčje 	AUX	not_perf	intrans	modal		
i tU se sakUpljamo prolEtos smo se sakUpljali bIli smo oko dvA trIes čovEka 	AUX	not_perf	intrans	modal		
Eto tAko je tO bIlo 	AUX	not_perf	intrans	modal		
((?)) svE je bIlo sAmo komAnda 	AUX	not_perf	intrans	modal		
tO je tAd bIlo a sAd 	AUX	not_perf	intrans	modal		
e tO je tAko bIlo ugAvnom 	AUX	not_perf	intrans	modal		
uzimAli iz onO kO štA je bIlo 	AUX	not_perf	intrans	modal		
kOji smo nAj/ Ovaj bIli 	AUX	not_perf	intrans	modal		
bIlo i Oni su ubIjali ljUdi ali 	No_AUX	not_perf	intrans	modal		
tO je tAko bIlo 	AUX	not_perf	intrans	modal		
tAko je tO bIlo 	AUX	not_perf	intrans	modal		
sOlidno živEli el mOji su imUćniji bIli 	AUX	not_perf	intrans	modal		
tAko je bIlo 	AUX	not_perf	intrans	modal		
dObar u Onosu štA je bIlo 	AUX	not_perf	intrans	modal		
mUški su bIli nAči svE tO se 	AUX	not_perf	intrans	modal		
a i mOji su bIli Otac i strIc 	AUX	not_perf	intrans	modal		
a Isprva dok smo mI bIli mAli 	AUX	not_perf	intrans	modal		
Eto tAko je bIlo On je b/ mOj pokOjni Otac je u bUgarsku vOjsku 	AUX	not_perf	intrans	modal		
uglAvno bIo je znAči i slUga i slUžio bUgarsku vOjsku tAko je bIlo 	AUX	not_perf	intrans	modal		
pOšto smo kovAči bIli jA sam 	AUX	not_perf	intrans	modal		
da da i Ona je bIla gOre do čEtvrti rAzred 	AUX	not_perf	intrans	modal		
sAmo je tO nI bIlo prEvoz 	AUX	not_perf	intrans	modal		
tAko je bIlo rAvno sAmo tO se pOlse svE Ovo izmEnjalo 	AUX	not_perf	intrans	modal		
nEšto da se urAdi inAče rAnije slAbo bIlo Opasno je bIlo 	AUX	not_perf	intrans	modal		
i tU se sakUpljamo prolEtos smo se sakUpljali bIli smo oko dvA trIes čovEka 	AUX	not_perf	intrans	modal		
Eto tAko je tO bIlo 	AUX	not_perf	intrans	modal		
i u tO sElo gdE je nEkad bIlo tO je mAlo pOviše gOre 	AUX	not_perf	intrans	modal		
a i u u inostrAnstvo je tOj bIlo tAg ((?)) ov 	AUX	not_perf	intrans	modal		
dOkle jA nesAm bIla rAnije se živElo od stOku 	AUX	not_perf	intrans	modal		
tOj b da ti kAžem bIlo je mnOgo jevtInje nEgo sAd 	AUX	not_perf	intrans	modal		
tI znAš kojI je bIla na subOtu tI njEga 	AUX	not_perf	intrans	modal		
nOse šljIvu i posAde ju tAm štO je tOj bIlo takO je 	AUX	not_perf	intrans	modal		
Eto ko/ i kOd njI su bIli prEko pEsto 	AUX	not_perf	intrans	modal		
pOpre bIlo Eto bAš kAd sam na prImer 	AUX	not_perf	intrans	modal		
bIlo je kOd ((?)) mUža mi svAdba 	AUX	not_perf	intrans	modal		
kOd svAku devOjku je takOj bIlo 	AUX	not_perf	intrans	modal		
kAd sam bilA u nEgotin onOj po pAmetno s je bIlo 	AUX	not_perf	intrans	modal		
vOda ((XXX)) je takOj bIlo 	AUX	not_perf	intrans	modal		
za ǵUrǵovdən a tO je muzIgrudva bIla 	AUX	not_perf	intrans	modal		
mI smo bIli trI 	AUX	not_perf	intrans	modal		
el do bAnju el mi smo bIli na sredInu jel u bAnju jel u knjAževac 	AUX	not_perf	intrans	modal		
smo bIli 	AUX	not_perf	intrans	modal		
kUd mAter kAd sam si bila čuvAli smo 	AUX	not_perf	intrans	modal		
pa onE ((XXX)) jA sam jedAn pUt bIla u ot u bEli svEt 	AUX	not_perf	intrans	modal		
prAznik An/ svEti andrEja tO je bIlo odi tO 	AUX	not_perf	intrans	modal		
bIli smo i mI u stAru kAlnu 	AUX	not_perf	intrans	modal		
bIli smo tUj 	AUX	not_perf	intrans	modal		
dobrO sIne dobrO dAko od naprEd da je bIlo naprAeno ali Ajd sAd 	AUX	not_perf	intrans	modal		
ga na svAdbu kAd smo bIli 	AUX	not_perf	intrans	modal		
a ovOj kAd smo na Ispraćaj na trubAča tOga bIli 	AUX	not_perf	intrans	modal		
nIje bIlo na ḱErku dObro i nIsam išlA 	AUX	not_perf	intrans	modal		
pa mUžje i jA sam bIla jA sam iz borOvac 	AUX	not_perf	intrans	modal		
Eto takO je bIlo 	AUX	not_perf	intrans	modal		
me t n nIje kao što je bIlo 	AUX	not_perf	intrans	modal		
((?)) mOz/ žEnsko da je pa kAko bIlo 	AUX	not_perf	intrans	modal		
inAč i bIlo 	No_AUX	not_perf	intrans	modal		
kakO je bIlo u lAšu 	AUX	not_perf	intrans	modal		
krIli smo se jedAn žmurI onAija se krIju i ((?)) n Umem da tI kAžem a kAd je snEg bio 	AUX	not_perf	intrans	modal		
mI smo bIli Izvan sEla ovAko 	AUX	not_perf	intrans	modal		
daleko nIsmo bIli u sElo 	AUX	not_perf	intrans	modal		
onI si otOše u selO a jA sAma tU sam bIla 	AUX	not_perf	intrans	modal		
kao štO je bIlo manUše 	AUX	not_perf	intrans	modal		
devOjče mI smo bIli nadničAri 	AUX	not_perf	intrans	modal		
drUgše je za pOso drUge sə i bIlo rAnije 	AUX	not_perf	intrans	modal		
tO je svə a onI drUg prEdmeti su svI bIli 	AUX	not_perf	intrans	modal		
bIla sam jA i jOš dvE 	AUX	not_perf	intrans	modal		
da da u čEtri rAzreda u grEznju smo bIli u škOlu 	AUX	not_perf	intrans	modal		
Oni i rAka i tAj bOško su bIli glAvni 	AUX	not_perf	intrans	modal		
a jUče štO je bIlo jA ne znAm 	AUX	not_perf	intrans	modal		
a ((?)) Onda tO vrEme su bIli bEdni 	AUX	not_perf	intrans	modal		
generAcija tAkvo je bIlo 	AUX	not_perf	intrans	modal		
tU sam bila ((laugh)) 	AUX	not_perf	intrans	modal		
i tAko je bIlo 	AUX	not_perf	intrans	modal		
pOpre štO je bIlo 	AUX	not_perf	intrans	modal		
takO je bIlo mIslim 	AUX	not_perf	intrans	modal		
takvO vrEme bIlo nE imAlo lekAri n imAlo 	No_AUX	not_perf	intrans	modal		
On bežI onAg si bIlo 	AUX	not_perf	intrans	modal		
a jA bIla gOre da im kAžem u kvOj sam kUḱu živEla 	AUX	not_perf	intrans	modal		
znAm kakO je bIlo dEte On kAže enE zAstava odzdO sUtra će kIša 	AUX	not_perf	intrans	modal		
sa sanItet jA nIsam znAla uOpšte gdE sam bIla 	AUX	not_perf	intrans	modal		
štA je bIlo s mUžem 	AUX	not_perf	intrans	modal		
mi smo bIli stO pEt đAka 	AUX	not_perf	intrans	modal		
tU je kAd je imAlo stO pEt ǵAka tu će da znAete da je bIlo rAd 	AUX	not_perf	intrans	modal		
pa bIlo je pə a imAlo je stOka 	AUX	not_perf	intrans	modal		
ali kod njije je bIlo glEdaj 	AUX	not_perf	intrans	modal		
i On onI su bIli kOd drAžu 	AUX	not_perf	intrans	modal		
kAd je se tOj bOjat mAlo ponAk i bIli su ga gOr u škOlu 	AUX	not_perf	intrans	modal		
Asta i Onu na astalAt ovAk inAče da je On bio od Ondekaj 	AUX	not_perf	intrans	modal		
sAg nIsam ga sramOta me bIlo tOlko pag da ga zapitkUjem 	AUX	not_perf	intrans	modal		
ne sAmo jA imAli jOšte su decA bIli 	AUX	not_perf	intrans	modal		
dObro je bIlo i ranIje 	AUX	not_perf	intrans	modal		
počInjem na že da tAčno e tAko bIlo 	AUX	not_perf	intrans	modal		
kƏd smo bIli na grAnicu bUgarsku i nAšu 	AUX	not_perf	intrans	modal		
tAko tO bIlo nE znam sƏd 	No_AUX	not_perf	intrans	modal		
i tO tAko bIlo 	No_AUX	not_perf	intrans	modal		
mI smo s matIku radEli tOj bIlo ((laugh)) 	AUX	not_perf	intrans	modal		
za onO da prAi matIqev • pa za tOlko smo bIli glUpi mAjku mu 	AUX	not_perf	intrans	modal		
Eto • bIlo 	No_AUX	not_perf	intrans	modal		
drAžini nIsu bIli tO vOjska Onoj jA ne mOg da cEnim • a znAm 	AUX	not_perf	intrans	modal		
aali gOdinu dAna smo bIli sAmi səs bAš tOj •• sAmi 	AUX	not_perf	intrans	modal		
tE svetkOvine se odvIjaju tE je Uvek bIlo rAnije sa igrAnkama sa svIm tIm 	AUX	not_perf	intrans	modal		
kRstovima bIli smo i sa mUzikom kod nAs se spAlo tU odAkle mi je mAjka 	AUX	not_perf	intrans	modal		
((?)) još u tUrsko dOba na Ulazu sEla je bIla nEka 	AUX	not_perf	intrans	modal		
((?)) tO je bIlo jA stIcajem okOlnosti znAm 	AUX	not_perf	intrans	modal		
mAlo šIre o svEmu tOme jer sam bio 	AUX	not_perf	intrans	modal		
tAda Ovde je bIlo do devedEsete gOdine znAm tAj Obim pOsla štO se tIče knjAževca kao Opštine 	AUX	not_perf	intrans	modal		
Ovde je bIlo ((?)) 	AUX	not_perf	intrans	modal		
tAko da je tO bIlo stOčarsko mEsto kAko 	AUX	not_perf	intrans	modal		
a dvAnes hIljade je bIlo zapOslenih do do tE gOdine 	AUX	not_perf	intrans	modal		
((?)) čAk i kolIko pAra je bIlo na na račUnu tE fIrme ((?)) 	AUX	not_perf	intrans	modal		
sAmo Ovde od četrdesEta domaćInstava kOlko smo bIli bIlo je 	AUX	not_perf	intrans	modal		
jA dEte pIše dOktorsku disertAciju pa joj dAjem mAlo nEke informAcije o sElu o Opštini i tAko štA je bIlo 	No_AUX	not_perf	intrans	modal		
((?)) pa da kAžem civilizovAniji Ovde je bIla škOla 	AUX	not_perf	intrans	modal		
mOja ćerka je tU bIla pRve dvE gOdine pa se promEnila učitEljica Onda nIje htEla i Ode za knjAževac 	AUX	not_perf	intrans	modal		
jer tAd su tU bIli i hrvAti i slovEnci i cIgani muslimAni svE žIvo 	AUX	not_perf	intrans	modal		
tO je bIla pOsebna škOla mlAdost vIna je se zvAlo bAš tAko jA sam pRvi pUt Išo u 	AUX	not_perf	intrans	modal		
kao pObednici regiOna bIli smo na sAveznom takmiEnju u rUkometu 	AUX	not_perf	intrans	modal		
i tO ćEra je zavRšila medicInu sa dEvet osamdEset i nEšto bIla je šEsti 	No_AUX	not_perf	intrans	modal		
bIla je đAk generAcije Ovde u kAplaru u zAječaru 	AUX	not_perf	intrans	modal		
